Name,Path,Start Line
Potential memory leaks in libpng functions,/contrib/libtests/pngimage.c,Potential memory leak in function 'buffer_extend': allocation at line 445 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngstest.c,Potential memory leak in function 'write_one_file': allocation at line 3260 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngstest.c,Potential memory leak in function 'read_one_file': allocation at line 3085 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngstest.c,Potential memory leak in function 'allocbuffer': allocation at line 680 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngvalid.c,Potential memory leak in function 'store_malloc': allocation at line 1844 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngvalid.c,Potential memory leak in function 'store_write_palette': allocation at line 1688 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngvalid.c,Potential memory leak in function 'store_ensure_image': allocation at line 1111 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngvalid.c,Potential memory leak in function 'store_storefile': allocation at line 913 is not freed
Potential memory leaks in libpng functions,/contrib/libtests/pngvalid.c,Potential memory leak in function 'store_storenew': allocation at line 855 is not freed
Potential memory leaks in libpng functions,/contrib/tools/pngfix.c,Potential memory leak in function 'IDAT_list_extend': allocation at line 636 is not freed
Potential memory leaks in libpng functions,/png.c,Potential memory leak in function 'png_build_8bit_table': allocation at line 3502 is not freed
Potential memory leaks in libpng functions,/png.c,Potential memory leak in function 'png_build_16to8_table': allocation at line 3446 is not freed
Potential memory leaks in libpng functions,/png.c,Potential memory leak in function 'png_build_16bit_table': allocation at line 3374 is not freed
Potential memory leaks in libpng functions,/pngmem.c,Potential memory leak in function 'png_malloc_base': allocation at line 98 is not freed
Potential memory leaks in libpng functions,/pngmem.c,Potential memory leak in function 'png_calloc': allocation at line 54 is not freed
Potential memory leaks in libpng functions,/pngread.c,Potential memory leak in function 'png_image_read_direct': allocation at line 4107 is not freed
Potential memory leaks in libpng functions,/pngread.c,Potential memory leak in function 'png_image_read_direct': allocation at line 4120 is not freed
Potential memory leaks in libpng functions,/pngread.c,Potential memory leak in function 'png_image_read_direct': allocation at line 4138 is not freed
Potential memory leaks in libpng functions,/pngread.c,Potential memory leak in function 'png_image_read_colormapped': allocation at line 3190 is not freed
Potential memory leaks in libpng functions,/pngread.c,Potential memory leak in function 'png_read_png': allocation at line 1138 is not freed
Potential memory leaks in libpng functions,/pngread.c,Potential memory leak in function 'png_read_png': allocation at line 1147 is not freed
Potential memory leaks in libpng functions,/pngrtran.c,Potential memory leak in function 'png_set_quantize': allocation at line 495 is not freed
Potential memory leaks in libpng functions,/pngrtran.c,Potential memory leak in function 'png_set_quantize': allocation at line 513 is not freed
Potential memory leaks in libpng functions,/pngrtran.c,Potential memory leak in function 'png_set_quantize': allocation at line 643 is not freed
Potential memory leaks in libpng functions,/pngrtran.c,Potential memory leak in function 'png_set_quantize': allocation at line 645 is not freed
Potential memory leaks in libpng functions,/pngrtran.c,Potential memory leak in function 'png_set_quantize': allocation at line 813 is not freed
Potential memory leaks in libpng functions,/pngrutil.c,Potential memory leak in function 'png_read_start_row': allocation at line 4816 is not freed
Potential memory leaks in libpng functions,/pngrutil.c,Potential memory leak in function 'png_read_start_row': allocation at line 4818 is not freed
Potential memory leaks in libpng functions,/pngset.c,Potential memory leak in function 'png_set_keep_unknown_chunks': allocation at line 1760 is not freed
Potential memory leaks in libpng functions,/pngset.c,Potential memory leak in function 'png_set_tRNS': allocation at line 1169 is not freed
Potential memory leaks in libpng functions,/pngtest.c,Potential memory leak in function 'test_one_file': allocation at line 1589 is not freed
Potential memory leaks in libpng functions,/pngtest.c,Potential memory leak in function 'test_one_file': allocation at line 1654 is not freed
Potential memory leaks in libpng functions,/pngwrite.c,Potential memory leak in function 'png_image_write_main': allocation at line 2199 is not freed
Potential memory leaks in libpng functions,/pngwrite.c,Potential memory leak in function 'png_set_filter': allocation at line 1166 is not freed
Potential memory leaks in libpng functions,/pngwrite.c,Potential memory leak in function 'png_set_filter': allocation at line 1172 is not freed
Potential memory leaks in libpng functions,/pngwutil.c,Potential memory leak in function 'png_write_start_row': allocation at line 2094 is not freed
Potential memory leaks in libpng functions,/pngwutil.c,Potential memory leak in function 'png_write_start_row': allocation at line 2117 is not freed
Potential memory leaks in libpng functions,/pngwutil.c,Potential memory leak in function 'png_write_start_row': allocation at line 2133 is not freed
Potential memory leaks in libpng functions,/pngwutil.c,Potential memory leak in function 'png_write_pCAL': allocation at line 1881 is not freed
Potential memory leaks in libpng functions,/pngwutil.c,Potential memory leak in function 'png_compress_IDAT': allocation at line 965 is not freed
